artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Travis Scott,"Huncho Jack, Jack Huncho",Saint Laurent Mask,7JGyxh8G8QZnu4AMJuCqlj,0.596,0.169,135.012,0.0414,0.0379,0.0,4,0.771,11,190437,-4.086,0.0745
Travis Scott,"Huncho Jack, Jack Huncho",Moon Rock,7bTH8LgGSwyNNE4r1k95Zp,0.717,0.147,142.926,0.046,0.0092,0.0,4,0.72,8,151184,-4.043,0.198
Travis Scott,"Huncho Jack, Jack Huncho",How U Feel,7CWiWkccuRRdrmaW6AjVEf,0.799,0.369,140.005,0.149,0.0532,2.54e-05,4,0.86,2,205682,-2.446,0.491
Travis Scott,"Huncho Jack, Jack Huncho",Where U From,11cCVYamncF0ezwjj1irQ0,0.757,0.211,140.073,0.0772,0.0542,0.0,4,0.756,1,251969,-2.969,0.284
Travis Scott,"Huncho Jack, Jack Huncho",Best Man,2hIFuoXhzcZGvmdtSE35lc,0.687,0.317,106.859,0.0545,0.00304,4.77e-05,4,0.673,8,266879,-4.567,0.159
Travis Scott,Birds In The Trap Sing McKnight,the ends,33zbOXJSwW7uf4VXXWow2O,0.737,0.0904,171.853,0.191,0.0661,0.0,4,0.585,4,201263,-4.121,0.0497
Travis Scott,Birds In The Trap Sing McKnight,way back,2Zy7XVdxyZQB8xp5xbpJdl,0.554,0.612,117.384,0.0488,0.222,0.0,4,0.396,0,272501,-5.048,0.17
Travis Scott,Birds In The Trap Sing McKnight,coordinate,7pas6O1LYbaeChEFQBhPFU,0.658,0.335,75.615,0.0695,0.105,1.89e-06,4,0.688,1,226397,-4.155,0.28
Travis Scott,Birds In The Trap Sing McKnight,through the late night,1Ci4wASMY4xtKVMeHA6Sd5,0.589,0.119,127.051,0.0359,0.36,0.0,4,0.744,5,286236,-1.218,0.242
Travis Scott,Birds In The Trap Sing McKnight,beibs in the trap,0ESJlaM8CE1jRWaNtwSNj8,0.571,0.291,119.054,0.145,0.24,0.0,4,0.743,7,213863,-6.054,0.495
Travis Scott,Birds In The Trap Sing McKnight,sdp interlude,4gh0ZnHzaTMT1sDga7Ek0N,0.586,0.118,108.164,0.0586,0.599,0.0544,4,0.507,0,191623,-8.15,0.588
Travis Scott,Birds In The Trap Sing McKnight,sweet sweet,01Ch5LzVStxCFPKkT1xg6k,0.578,0.403,142.028,0.0417,0.0859,1.19e-06,4,0.733,0,222318,-5.245,0.447
Travis Scott,Birds In The Trap Sing McKnight,outside,177WEvlLsCc0FzCTWslawr,0.616,0.103,165.906,0.311,0.503,0.0,4,0.758,2,176488,-3.471,0.494
Travis Scott,Birds In The Trap Sing McKnight,goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.728,0.149,130.049,0.0484,0.0847,0.0,4,0.841,7,243837,-3.37,0.43
Travis Scott,Birds In The Trap Sing McKnight,first take,6wwruKU956ldDyz55DZTt1,0.536,0.095,71.313,0.16,0.015,0.0,5,0.423,7,313909,-3.8,0.0895
Travis Scott,Birds In The Trap Sing McKnight,pick up the phone,20dP2DaMHIAmwWAbp7peSr,0.739,0.226,136.919,0.129,0.114,0.0,4,0.711,7,252256,-3.804,0.43
